CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
12,NC,96,NCU,DG FAIRHAVEN POWER COMPANY,97 BAY STREET,SAMOA,95564,4911,HUM,16,,,,NORTH COAST UNIFIED AQMD,,A,23.14838
39,SJV,285,SJU,"DIAMOND FOODS, LLC",1050 S DIAMOND ST,STOCKTON,95201,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,409.0000167
56,SCC,507,VEN,DRISCOLL STRAWBERRY ASSOCIATES,3939 E. HUENEME ROAD,OXNARD,93030,5148,VEN,0.29,,,,VENTURA COUNTY APCD,,,255
15,SJV,1624,SJU,E&B NATURAL RESOURCES MGMT,HEAVY OIL CENTRAL,,,1311,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.0105
1,SF,591,BA,EAST BAY MUNICIPAL UTILITY DISTRICT,2020 WAKE AVENUE,OAKLAND,94607,4952,ALA,,8,0.06,,BAY AREA AQMD,,,8.67605
15,MD,47,KER,EDWARDS AFB,,EDWARDS AFB,,9711,KER,3.04,,,,EASTERN KERN APCD,,,132.7196
20,SJV,8250,SJU,EL DORADO ALMONDS LLC,21888 AVENUE 14,MADERA,,723,MAD,0.88,,,,SAN JOAQUIN VALLEY APCD,,,3000
54,SJV,968,SJU,"FAMOUS VINEYARDS, LLC",20715 AVENUE 8,RICHGROVE,93261,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,239,SJU,FELIX COSTA,13160 N WEST LN,LODI,95240,723,SJ,0.01,,,,SAN JOAQUIN VALLEY APCD,,,13.09813556
10,SJV,973,SJU,FIG GARDEN PACKING INC.,5545 W DAKOTA AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,272.0000148
39,SJV,4752,SJU,FOPPIANO RANCH,500 N JACK TONE RD,STOCKTON,95215,2879,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,6098.00005
36,MD,2806,MOJ,FORT IRWIN WASTEWATER TREATMENT PLANT,"WASTEWATER TREATMENT PLANT, BLDG 700",FORT IRWIN,92310,9511,SBD,8.53,,,,MOJAVE DESERT AQMD,,,22.805
50,SJV,3838,SJU,"FRAZIER NUT FARMS, INC",10830 YOSEMITE BLVD,WATERFORD,95386,723,STA,3.85,,,,SAN JOAQUIN VALLEY APCD,,,0
10,SJV,2870,SJU,GERAWAN FARMING LLC,1467 E DINUBA AVE,REEDLEY,,723,FRE,14.8,0,0.33,0.58,SAN JOAQUIN VALLEY APCD,,,1325.993152
54,SJV,2959,SJU,GIUMARRA BROS FRUIT COMPANY,3646 AVENUE 416,REEDLEY,93654,723,TUL,0.05,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,4474,SJU,GOLDEN STATE FOOD LLC,719 E GRAYSON RD,MODESTO,95358,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,1612,SJU,GRANITE CONSTRUCTION COMPANY,"HWY 223, 3 MILES EAST OF ARVIN",BAKERSFIELD,,1442,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,3078,SJU,GRIFFITH CO,EDMONSTON PUMP STATION RD,TEJON RANCH,,2951,KER,1.62,,,,SAN JOAQUIN VALLEY APCD,,,0.195513654
50,SJV,6082,SJU,GROWER DIRECT NUT COMPANY,2288 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,4525.000095
40,SCC,2825,SLO,GUADALUPE COOLING,2040 GUADALUPE RD,NIPOMO,93444,2879,SLO,1.1,,,,SAN LUIS OBISPO COUNTY APCD,,,100.1573157
37,SD,199910776,SD,HARBOR PEST CONTROL,6160 FAIRMOUNT AVENUE #K,SAN DIEGO,92120,7342,SD,,,,,SAN DIEGO COUNTY APCD,,,387.95
36,MD,1418,MOJ,HELENDALE COMMUNITY SERVICES DISTRICT,27079 HELENDALE ROAD,HELENDALE,92342,4952,SBD,8.74,,,,MOJAVE DESERT AQMD,,,11.19136238
24,SJV,4751,SJU,HILLTOP RANCH,8235 W TURLOCK RD,BALLICO,95303,723,MER,0.17,,,,SAN JOAQUIN VALLEY APCD,,,29.69999984
24,SJV,1275,SJU,HILMAR CHEESE COMPANY,9001 N LANDER AVE,HILMAR,95324,2022,MER,,,,,SAN JOAQUIN VALLEY APCD,,,0.02220004
10,SJV,633,SJU,"HMC GROUP COLD STORAGE, THE",13138 S BETHEL AVE,KINGSBURG,93631,723,FRE,0.22,,,,SAN JOAQUIN VALLEY APCD,,,1621.899962
54,SJV,2645,SJU,"HORIZON NUT, LLC",26487 N HIGHWAY 99,TULARE,93274,723,TUL,1.67,,,,SAN JOAQUIN VALLEY APCD,,,1119.500041
15,SJV,4216,SJU,JASMINE VINEYARDS,33319 POND RD,DELANO,93215,172,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,2716,SJU,JODY FRESH COOLING COMPANY,4731 AVENUE 400,DINUBA,93618,4222,TUL,0.66,,,,SAN JOAQUIN VALLEY APCD,,,769.9999809
24,SJV,3032,SJU,"JOHN B. SANFILIPPO & SON, INC.",29241 COTTONWOOD RD,GUSTINE,95322,723,MER,1.1,,,,SAN JOAQUIN VALLEY APCD,,,0
16,SJV,1901,SJU,KINGS WASTE & RECYCLING AUTHORITY,7803 HANFORD-ARMONA RD,HANFORD,93230,4953,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,0.000868
10,SJV,3078,SJU,KINGSBURG APPLE PARTNERS INC,10363 E DAVIS RD,KINGSBURG,93631,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3089,SJU,KOOL KOUNTRY LLC,42874 ROAD 64,REEDLEY,93654,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,68.99999827
10,SJV,4342,SJU,KY PACKING LLC,8686 S. RIO VISTA,REEDLEY,93654,723,FRE,0.07,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,3515,SJU,LEGACY PACKING AND COLD STORAGE,38773 ROAD 48,DINUBA,93618,723,TUL,4.15,,,,SAN JOAQUIN VALLEY APCD,,,1506.000042
39,SJV,5058,SJU,LINDEN NUT CO LLC,8452 N DEMARTINI LN,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,1152,SJU,LODI EXPORT CORP,48 E OAK ST,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,1103,SJU,M & R COMPANY,405 S MAIN ST,LODI,95240,723,SJ,37.1,,0.97,,SAN JOAQUIN VALLEY APCD,,,1788.204067
7,SF,24726,BA,MARTINEZ REFINING COMPANY LLC,3485 PACHECO BLVD,MARTINEZ,94553,2911,CC,,9,0.02,,BAY AREA AQMD,,,208.3000002
50,SJV,4963,SJU,MID VALLEY NUT COMPANY,2065 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,75.00000298
36,MD,1,MOJ,MITSUBISHI/CUSHENBURY PLANT,5808 STATE HIGHWAY 18,LUCERNE VALLEY,92356,3241,SBD,8.74,,,,MOJAVE DESERT AQMD,,,4087.525674
50,SJV,2055,SJU,MONTE VISTA FARMING COMPANY,5043 MONTPELIER RD,DENAIR,95316,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,884.9999607
54,SJV,2810,SJU,MOUNTAIN VIEW COLD STORAGE,4275 AVENUE 416,REEDLEY,93654,4222,TUL,0.35,,,,SAN JOAQUIN VALLEY APCD,,,565.599978
15,MD,21,KER,NATIONAL CEMENT CO,5 MI. N OF HWY 138-5 MI E/I-5,LEBEC,93243,3241,KER,3.79,0.3,0.02,0.02,EASTERN KERN APCD,,,13283.61137
36,MD,567,MOJ,NAWS CHINA LAKE,"429 E. BOWEN RD., MS 4014",CHINA LAKE,93555,9711,SBD,0.45,,,,MOJAVE DESERT AQMD,,,0.000140134
54,SJV,7377,SJU,NEW LEAF COLD STORAGE,3170 AVENUE 360,TRAVER,,4222,TUL,0.08,,,,SAN JOAQUIN VALLEY APCD,,,555.6999892
39,SJV,588,SJU,O G  PACKING,2097 BEYER LN,STOCKTON,95215,723,SJ,0.97,,,,SAN JOAQUIN VALLEY APCD,,,3295.19999
11,SV,1229,GLE,"OMEGA WALNUT, INC",7233 COUNTY ROAD 24,ORLAND,95963,723,GLE,,,,,GLENN COUNTY APCD,,,105
20,SJV,981,SJU,P-R FARMS,17710 ROAD 24,MADERA,0,723,MAD,0.81,,,,SAN JOAQUIN VALLEY APCD,,,810.0000024
10,SJV,3798,SJU,"PAPICH CONST CO, INC DBA SIERRA PACIFIC",4315 LOST HILLS RD,COALINGA,,2951,FRE,0.37,,,,SAN JOAQUIN VALLEY APCD,,,0.139004556
10,SJV,946,SJU,POINDEXTER NUT CO,5414 E FLORAL AVE,SELMA,93662,723,FRE,0.35,,,,SAN JOAQUIN VALLEY APCD,,,201.000005
24,SJV,1397,SJU,PUSATERI NUT COMPANY,126 4TH ST,GUSTINE,95322,723,MER,0.7,,,,SAN JOAQUIN VALLEY APCD,,,100.0000015
39,SJV,5000,SJU,RDJ FARMS DBA DANAMARK,7367 E MARIPOSA RD,STOCKTON,95215,723,SJ,0.6,,,,SAN JOAQUIN VALLEY APCD,,,949.9999881
51,SV,33027,FR,RICHLAND HULLING AND SHELLING,6030 CARLSON ROAD,YUBA CITY,95993,723,SUT,9.23,,,,FEATHER RIVER AQMD,,,0
31,SV,212,PLA,RIO BRAVO,3100 SPARTA COURT,LINCOLN,95648,4911,PLA,49.36,2.75,0.12,0,PLACER COUNTY APCD,,,20.3
39,SJV,8601,SJU,RIVER OAK ORCHARDS,9851 HUTCHINSON RD,MANTECA,95337,723,SJ,0.49,,,,SAN JOAQUIN VALLEY APCD,,,130.7999939
39,SJV,8844,SJU,"RIVERMAID TRADING, CO.",6011 E PINE,LODI,95241,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,7656.679809
47,NEP,29,SIS,ROSEBURG FOREST PRODUCTS,98 MILL ST,WEED,96094,2436,SIS,,1.72,0.12,0.14,SISKIYOU COUNTY APCD,,,22.745
51,SV,16000,FR,SACRAMENTO PACKING INC,833 TUDOR,YUBA CITY,95991,723,SUT,0.56,,,,FEATHER RIVER AQMD,,,4097
51,SV,33007,FR,SACRAMENTO VALLEY WALNUT GROWERS,896 O'BANION ROAD,YUBA CITY,95991,723,SUT,0.88,,,,FEATHER RIVER AQMD,,,1028
10,SJV,1076,SJU,SAN JOAQUIN FIGS,3564 N HAZEL AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
10,SJV,3029,SJU,SAN JOAQUIN FIGS,6875 NORTH VAN BUREN AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
41,SF,861,BA,SAN MATEO WATER QUALITY CONTROL PLANT,2050 DETROIT DRIVE,SAN MATEO,94404,4952,SM,,4.3,0,,BAY AREA AQMD,,,13.903719
12,NC,95,NCU,SCHMIDBAUER LUMBER,1099 WEST WATERFRONT DRIVE,EUREKA,95501,2421,HUM,66.88,,,,NORTH COAST UNIFIED AQMD,,A,0.5663531
37,SD,92235,SD,SD UNIFIED PORT DIST HARBOR FUMIGATION INC,802 TERMINAL ST,SAN DIEGO,92101,4422,SD,,,,,SAN DIEGO COUNTY APCD,,,0
58,SV,34016,FR,SHOEI FOODS (U.S.A.) INC,1900 FEATHER RIVER BLVD,OLIVEHURST,,723,YUB,0.38,,,,FEATHER RIVER AQMD,,,10164
10,SJV,2093,SJU,SIMONIAN FRUIT COMPANY,350 N SEVENTH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,33010,FR,STEPHENS DRYERS,8540 GARDEN HWY,YUBA CITY,95991,723,SUT,4.81,,,,FEATHER RIVER AQMD,,,0
54,SJV,8313,SJU,SUN VALLEY PACKING CO,7381 AVENUE 432,REEDLEY,,4221,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
51,SV,16004,FR,SUNSWEET GROWERS INC.,901 NORTH WALTON AVENUE,YUBA CITY,95991,723,SUT,5.63,,,,FEATHER RIVER AQMD,,,0
15,SJV,2747,SJU,SUNVIEW COLD STORAGE,31548 PETERSON RD,MCFARLAND,93250,4222,KER,,,,,SAN JOAQUIN VALLEY APCD,,,977.7799845
54,SJV,2785,SJU,SUNVIEW COLD STORAGE,315 N FRONT ST,EARLIMART,,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
34,SV,14,SAC,TEICHERT GRANTLINE PLANT,3417 GRANTLINE RD,RANCHO CORDOVA,95742,1423,SAC,0.14,,,,SACRAMENTO METROPOLITAN AQMD,,,0
34,SV,2,SAC,TEICHERT PERKINS PLANT,8760 KIEFER BLVD,SACRAMENTO,95826,1423,SAC,82.89,,,,SACRAMENTO METROPOLITAN AQMD,,,0.592961181
7,SF,14628,BA,TESORO REFINING & MARKETING COMPANY  LLC,150 SOLANO WAY,MARTINEZ,94553,2911,CC,,6.9,0.3,,BAY AREA AQMD,,,12.20000017
20,SJV,3301,SJU,THE ALMOND COMPANY,22782 ROAD 9,CHOWCHILLA,93610,723,MAD,0,,,,SAN JOAQUIN VALLEY APCD,,,1600.499988
20,SJV,8416,SJU,THE ALMOND COMPANY,2900 AIRPORT DRIVE,MADERA,,723,MAD,2.75,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,5053,SJU,"THE DERUOSI GROUP, LP",25055 E ARTHUR RD,ESCALON,95320,723,SJ,5.77,,,,SAN JOAQUIN VALLEY APCD,,,1202.999949
47,NEP,31,SIS,TIMBER PRODUCTS,130 N PHILLIPE LANE,YREKA,96097,2436,SIS,,,,,SISKIYOU COUNTY APCD,,,0.00094
15,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2114 ROAD 144,DELANO,,723,KER,0.12,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,634,SJU,TREEHOUSE CALIFORNIA ALMONDS LLC,2115 ROAD 144,DELANO,93215,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,30.99999949
50,SJV,8778,SJU,TURLOCK WALNUT COMPANY,400 D ST,TURLOCK,95380,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
57,SV,25,YS,"UNIVERSITY OF CALIFORNIA, DAVIS",CAMPUS AREA,DAVIS,95616,8221,YOL,0,,,,YOLO-SOLANO AQMD,,,0.00511
36,MD,589,MOJ,US ARMY NATIONAL TRAINING CTR.,ENVR. DIV BLDG 385  BOX 105097,FORT IRWIN,92310,9711,SBD,7.69,,,,MOJAVE DESERT AQMD,,,23.11652179
48,SF,12626,BA,VALERO REFINING COMPANY - CALIFORNIA,3400 E 2ND STREET,BENICIA,94510,2911,SOL,,9.1,0.02,0,BAY AREA AQMD,,,0.219
51,SV,34015,FR,VALLEY VIEW PACKING CO,7547 SAWTELLE AVE,YUBA CITY,95991,2034,SUT,4.14,,,,FEATHER RIVER AQMD,,,1603
36,MD,3069,MOJ,VICTORVILLE SCLA CENTRAL TREATMENT FACILITY,"SO 1/2 SEC 14, T6N R5W",VICTORVILLE,92392,4952,SBD,4.54,,,,MOJAVE DESERT AQMD,,,54.2386715
19,MD,1759,AV,VULCAN - 7107 E AVENUE T,7107 EAST AVENUE T,LITTLEROCK,93543,2951,LA,1.75,,,,ANTELOPE VALLEY AQMD,,,0.04313908
15,SJV,363,SJU,"VULCAN MATERIALS CO, WESTERN DIV",8517 PANAMA LN,BAKERSFIELD,93311,2951,KER,4.93,,,,SAN JOAQUIN VALLEY APCD,,,0.055486038
37,SD,6306,SD,VULCAN MATERIALS WESTERN DIVISION CALMAT,10051 BLACK MOUNTAIN RD,SAN DIEGO,92126,1442,SD,,1,,,SAN DIEGO COUNTY APCD,,,0.00006844
16,SJV,3071,SJU,WARMERDAM PACKING,15650 EXCELSIOR AVE,HANFORD,93230,2033,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,4980.000019
1,SF,2066,BA,WASTE MANAGEMENT OF ALAMEDA COUNTY,10840 ALTAMONT PASS RD,LIVERMORE,94551,4953,ALA,,7.9,0.11,,BAY AREA AQMD,,,0.449199295
54,SJV,8135,SJU,WAWONA PACKING,12133 AVENUE 408,CUTLER,,723,TUL,0.38,,,,SAN JOAQUIN VALLEY APCD,,,1218.000054
54,SJV,3338,SJU,WES PAK INC,4572 AVENUE 400,DINUBA,93618,723,TUL,0.07,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,377,SJU,WONDERFUL PISTACHIOS & ALMONDS,3.5 MILES N OF HWY 46 ON HWY 33,LOST HILLS,93249,723,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
